,Unnamed: 0,Acceleration,Acceleration X,Acceleration Y,Acceleration Z,Area,Average Distance To 3 Nearest Neighbours,Average Distance To 5 Nearest Neighbours,Average Distance To 9 Nearest Neighbours,Diameter X,Diameter Y,Diameter Z,Displacement Delta Length,Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Displacement Length,Displacement X,Displacement Y,Displacement Z,Displacement^2,Distance To Nearest Neighbour,Distance from Origin,Distance to Image Border XY,Distance to Image Border XYZ,Generation,Intensity Center Channel_1,Intensity Center Channel_2,Intensity Center Channel_3,Intensity Center Channel_4,Intensity Max Channel_1,Intensity Max Channel_2,Intensity Max Channel_3,Intensity Max Channel_4,Intensity Mean Channel_1,Intensity Mean Channel_2,Intensity Mean Channel_3,Intensity Mean Channel_4,Intensity Median Channel_1,Intensity Median Channel_2,Intensity Median Channel_3,Intensity Median Channel_4,Intensity Min Channel_1,Intensity Min Channel_2,Intensity Min Channel_3,Intensity Min Channel_4,Intensity StdDev Channel_1,Intensity StdDev Channel_2,Intensity StdDev Channel_3,Intensity StdDev Channel_4,Intensity Sum Channel_1,Intensity Sum Channel_2,Intensity Sum Channel_3,Intensity Sum Channel_4,Intensity Sum of Square Channel_1,Intensity Sum of Square Channel_2,Intensity Sum of Square Channel_3,Intensity Sum of Square Channel_4,Number of Voxels,Position X,Position Y,Position Z,Speed,Time,Time Index,Time Since Track Start,Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Velocity X,Velocity Y,Velocity Z,Volume,Object_ID,Track_ID
17,2105,0.0,0.0,0.0,0.0,270.69146728515625,20.52412223815918,21.666259765625,24.90174674987793,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2302360534668,921.535400390625,197.7066650390625,19.88189697265625,0.0,51.0,207.0,4.0,52.0,72.0,228.0,11.0,52.0,44.45000076293945,166.0500030517578,5.0,27.049999237060547,46.98400115966797,167.95199584960938,4.008000373840332,21.496002197265625,23.0,70.0,0.0,7.0,15.024895668029783,48.27988815307617,3.25576400756836,14.22137451171875,889.0,3321.0,100.0,541.0,44031.0,598071.0,712.0,18679.0,20.0,731.8085327148438,201.7066650390625,522.4923095703125,2.146700620651245,0.0,1.0,0.0,122.33445739746094,38.65797805786133,108.83319091796876,-1.1480712890625,1.676361083984375,-0.69287109375,402.1238708496094,2105,1000002105
18,2110,0.0,0.0,0.0,0.0,270.69146728515625,18.522052764892575,23.027307510375977,27.09757804870605,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.953973770141602,940.61181640625,204.7524261474609,20.3863525390625,0.0,211.0,177.0,2.0,11.0,211.0,177.0,18.0,33.0,85.19999694824219,102.9000015258789,4.900000095367432,16.850000381469727,78.97599792480469,96.60000610351562,3.5,15.00999927520752,13.0,50.0,1.0,4.0,47.27113342285156,39.65085220336914,4.49332857131958,8.101079940795898,1704.0,2058.0,98.0,337.0,189872.0,243212.0,884.0,6991.0,20.0,754.1231689453125,208.7524261474609,521.9878540039062,2.132308959960937,0.0,1.0,0.0,37.15053176879883,52.869728088378906,89.0174560546875,1.6995849609375,1.28717041015625,0.0366617850959301,402.1238708496094,2110,1000002110
19,2111,0.0,0.0,0.0,0.0,270.69146728515625,16.539182662963867,17.51140785217285,20.90420913696289,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.387568473815918,886.793212890625,205.3684844970703,21.80523681640625,0.0,188.0,255.0,14.0,72.0,222.0,255.0,19.0,126.0,128.86363220214844,214.5909118652344,5.272727489471436,56.1363639831543,120.97799682617188,254.93600463867188,3.992000102996826,53.040000915527344,23.0,53.0,0.0,24.0,48.17892456054688,68.77080535888672,5.188990116119385,23.07358932495117,2835.0,4721.0,116.0,1235.0,416395.0,1117131.0,1204.0,81041.0,22.0,686.7131958007812,209.3684844970703,520.5689697265625,1.9416816234588623,0.0,1.0,0.0,165.489013671875,78.55633544921875,81.19485473632812,-1.87969970703125,0.38531494140625,0.29730224609375,402.1238708496094,2111,1000002111
20,2116,0.0,0.0,0.0,0.0,270.69146728515625,13.298468589782717,17.25185203552246,22.52071762084961,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.957437515258787,899.4343872070312,207.23272705078125,21.2294921875,0.0,178.0,109.0,0.0,105.0,194.0,176.0,22.0,177.0,143.3333282470703,119.42857360839844,5.904761791229248,69.0,146.99598693847656,119.04399871826172,3.992000579833984,59.91200256347656,64.0,65.0,0.0,11.0,31.78998565673828,23.34130096435547,5.813815593719482,42.7640266418457,3010.0,2508.0,124.0,1449.0,452656.0,310968.0,1442.0,138385.0,21.0,701.9765625,211.23272705078125,521.1447143554688,0.6725969314575195,0.0,1.0,0.0,27.788890838623047,111.11384582519533,72.78392028808594,0.59503173828125,-0.24224853515625,0.1990966796875,402.1238708496094,2116,1000002116
21,2118,0.0,0.0,0.0,0.0,270.69146728515625,15.753560066223145,18.96195411682129,22.72664451599121,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.70341968536377,861.7984619140625,209.12417602539065,19.98822021484375,0.0,172.0,43.0,0.0,29.0,255.0,63.0,9.0,29.0,95.57142639160156,28.428571701049805,1.8095238208770752,11.095237731933594,94.06400299072266,24.016000747680664,0.0040000001899898,13.986000061035156,15.0,14.0,0.0,0.0,59.19505310058594,13.51391315460205,2.872182607650757,8.400140762329102,2007.0,597.0,38.0,233.0,265397.0,20807.0,242.0,4067.0,21.0,651.4503173828125,213.12417602539065,522.385986328125,2.1079916954040527,0.0,1.0,0.0,80.38175964355469,29.661399841308597,62.2407455444336,0.352294921875,1.831787109375,0.98187255859375,402.1238708496094,2118,1000002118
22,2123,0.0,0.0,0.0,0.0,270.69146728515625,18.390064239501957,20.96783447265625,24.92719268798828,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.957437515258787,909.2500610351562,211.62643432617188,21.093017578125,0.0,224.0,100.0,0.0,12.0,253.0,103.0,8.0,37.0,119.09091186523438,69.04545593261719,2.590909004211426,20.31818199157715,107.9800033569336,65.49600219726562,1.503999948501587,20.51399803161621,14.0,32.0,0.0,4.0,65.58610534667969,25.86235809326172,2.757783889770508,9.706541061401367,2620.0,1519.0,57.0,447.0,406652.0,119595.0,315.0,11155.0,22.0,713.0966796875,215.62643432617188,521.2811889648438,0.6387405395507812,0.0,1.0,0.0,101.7522430419922,160.87535095214844,104.88085174560548,-0.13006591796875,-0.6034698486328125,-0.16400146484375,402.1238708496094,2123,1000002123
23,2130,0.0,0.0,0.0,0.0,270.69146728515625,15.858741760253906,17.587387084960938,20.61423110961914,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.608068466186523,883.4666137695312,217.01611328125,17.10296630859375,0.0,204.0,193.0,4.0,33.0,237.0,255.0,9.0,63.0,169.7857208251953,194.64285278320312,2.642857074737549,32.0,164.0,219.9949951171875,3.996000289916992,32.994998931884766,117.0,92.0,0.0,4.0,34.2160758972168,61.74094009399414,2.6078765392303467,14.66774845123291,2377.0,2725.0,37.0,448.0,419971.0,583769.0,193.0,17348.0,14.0,675.0964965820312,221.01611328125,525.271240234375,3.6564109325408936,0.0,1.0,0.0,66.48184967041016,25.799814224243164,80.0020523071289,1.45916748046875,3.291961669921875,0.63494873046875,402.1238708496094,2130,1000002130
24,2132,0.0,0.0,0.0,0.0,270.69146728515625,23.254806518554688,28.042377471923828,33.754451751708984,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4229736328125,780.2986450195312,217.29837036132807,21.2059326171875,0.0,125.0,0.0,0.0,4.0,125.0,33.0,9.0,24.0,55.08333206176758,10.083333015441896,0.875,5.958333492279053,54.05999755859375,9.008999824523926,0.0022499999031424,3.992000102996826,0.0,0.0,0.0,0.0,29.71099281311035,9.442442893981934,2.1469454765319824,6.106548309326172,1322.0,242.0,21.0,143.0,94006.0,4580.0,129.0,1747.0,24.0,536.9139404296875,221.29837036132807,521.1682739257812,1.3945465087890625,0.0,1.0,0.0,151.52847290039062,70.1429443359375,109.54872131347656,-1.225830078125,0.4737396240234375,-0.466552734375,402.1238708496094,2132,1000002132
25,2133,0.0,0.0,0.0,0.0,270.69146728515625,19.07347869873047,21.370235443115234,23.731672286987305,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.238289833068848,848.3817749023438,217.958984375,17.25518798828125,0.0,255.0,24.0,4.0,14.0,255.0,116.0,4.0,14.0,176.0,39.93333435058594,0.800000011920929,7.199999809265137,206.01998901367188,29.03399658203125,0.0010000000474974,3.996000289916992,62.0,4.0,0.0,0.0,71.36759185791016,28.299509048461918,1.600000023841858,5.443038463592529,2640.0,599.0,12.0,108.0,541040.0,35933.0,48.0,1222.0,15.0,628.2801513671875,221.958984375,525.1190185546875,3.566735029220581,0.0,1.0,0.0,114.89556884765624,51.97900772094727,48.25061798095703,-1.50128173828125,2.197006225585937,2.37506103515625,402.1238708496094,2133,1000002133
26,2134,0.0,0.0,0.0,0.0,270.69146728515625,13.686718940734863,17.908809661865234,22.01677703857422,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.989895820617676,871.0984497070312,218.10040283203125,22.27557373046875,0.0,133.0,72.0,0.0,19.0,133.0,135.0,4.0,29.0,62.904762268066406,77.9047622680664,1.523809552192688,15.2380952835083,61.96800231933594,81.99600219726562,0.0010000000474974,14.010000228881836,7.0,24.0,0.0,0.0,24.769229888916016,26.314769744873047,1.94248366355896,8.766303062438965,1321.0,1636.0,32.0,320.0,95981.0,141994.0,128.0,6490.0,21.0,662.556640625,222.10040283203125,520.0986328125,1.7542868852615356,0.0,1.0,0.0,134.98472595214844,57.292724609375,62.84446716308594,-1.24005126953125,0.947967529296875,0.80072021484375,402.1238708496094,2134,1000002134
27,2139,0.0,0.0,0.0,0.0,270.69146728515625,14.1814603805542,16.640323638916016,20.311595916748047,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.989895820617676,864.0892333984375,222.77230834960935,20.79949951171875,0.0,94.0,101.0,4.0,14.0,125.0,116.0,14.0,48.0,47.85714340209961,61.9523811340332,3.190476179122925,16.0,39.08000183105469,63.04800415039063,3.996000289916992,14.020000457763672,0.0,19.0,0.0,0.0,34.649654388427734,26.939926147460938,3.37524676322937,11.567606925964355,1005.0,1301.0,67.0,336.0,73309.0,95841.0,453.0,8186.0,21.0,650.5261840820312,226.77230834960935,521.57470703125,1.9148619174957275,0.0,1.0,0.0,107.95360565185548,19.38856315612793,97.08858489990234,-0.59014892578125,1.8062744140625,-0.2362060546875,402.1238708496094,2139,1000002139
28,2141,0.0,0.0,0.0,0.0,270.69146728515625,17.53898048400879,18.757970809936523,21.58233642578125,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.877381324768066,895.6729125976562,225.0890350341797,20.6298828125,0.0,190.0,255.0,14.0,29.0,235.0,255.0,14.0,96.0,158.68182373046875,223.9090881347656,4.136363506317139,42.31818008422852,160.5,254.93600463867188,3.996000289916992,42.98999786376953,70.0,43.0,0.0,9.0,45.78644561767578,60.35644912719727,4.003355979919434,20.90103530883789,3491.0,4926.0,91.0,931.0,600079.0,1183120.0,729.0,49009.0,22.0,691.0361938476562,229.0890350341797,521.7443237304688,0.5135226845741272,0.0,1.0,0.0,51.97475814819336,44.37458801269531,109.3335189819336,0.31634521484375,0.3670654296875,-0.16998291015625,402.1238708496094,2141,1000002141
29,2146,0.0,0.0,0.0,0.0,270.69146728515625,22.476465225219727,25.0100212097168,30.01976585388184,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4229736328125,781.3189086914062,231.97982788085935,21.2725830078125,0.0,133.0,38.0,0.0,19.0,141.0,72.0,14.0,33.0,49.1363639831543,30.772727966308597,5.409090995788574,17.863636016845703,38.98500061035156,26.520000457763672,4.005000114440918,19.020000457763672,15.0,4.0,0.0,0.0,35.91441345214844,18.67894172668457,4.40721607208252,8.335550308227539,1081.0,677.0,119.0,393.0,81493.0,28509.0,1071.0,8549.0,22.0,532.189697265625,235.97982788085935,521.1016235351562,0.974799394607544,0.0,1.0,0.0,168.0723419189453,79.85425567626953,83.79117584228516,-0.9537353515625,0.1717529296875,0.10546875,402.1238708496094,2146,1000002146
30,2149,0.0,0.0,0.0,0.0,270.69146728515625,19.417240142822266,23.32124137878418,29.453556060791016,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.462631225585938,766.5590209960938,237.6258850097656,20.5228271484375,0.0,243.0,9.0,0.0,4.0,255.0,38.0,4.0,19.0,149.8095245361328,10.857142448425291,0.9523809552192688,3.5238094329833984,164.0,9.017999649047852,0.0010000000474974,4.007499694824219,54.0,0.0,0.0,0.0,61.04925155639648,10.114985466003418,1.703670859336853,4.904993057250977,3146.0,228.0,20.0,74.0,549568.0,4624.0,80.0,766.0,21.0,506.853759765625,241.6258850097656,521.8513793945312,9.076592445373535,0.0,1.0,0.0,71.33978271484375,97.98030090332033,159.59141540527344,2.9044189453125,-1.259674072265625,-8.506591796875,402.1238708496094,2149,1000002149
31,2150,0.0,0.0,0.0,0.0,270.69146728515625,15.860584259033203,19.264368057250977,22.86940574645996,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.526323318481444,864.258544921875,237.9589385986328,21.85333251953125,0.0,164.0,82.0,4.0,33.0,227.0,130.0,9.0,38.0,82.42857360839844,74.38095092773438,3.238095283508301,21.238094329833984,70.0780029296875,67.04000091552734,3.996000289916992,24.013999938964844,31.0,24.0,0.0,0.0,43.50650787353516,28.815465927124023,3.3224310874938965,9.807211875915527,1731.0,1562.0,68.0,446.0,182433.0,133620.0,452.0,11492.0,21.0,646.1089477539062,241.9589385986328,520.5208740234375,0.5237898826599121,0.0,1.0,0.0,73.79688262939453,102.46585845947266,20.65842056274414,0.14617919921875,-0.113037109375,0.4901123046875,402.1238708496094,2150,1000002150
32,2151,0.0,0.0,0.0,0.0,270.69146728515625,15.860359191894531,18.771574020385746,23.46047592163086,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.438536643981934,914.9718017578124,238.07095336914065,20.09619140625,0.0,201.0,37.0,0.0,9.0,201.0,80.0,5.0,52.0,69.54545593261719,33.6363639831543,1.409090876579285,16.272727966308594,55.94400024414063,30.520000457763672,0.5,11.48800277709961,16.0,11.0,0.0,1.0,50.974796295166016,18.02156639099121,1.6141164302825928,14.517017364501951,1530.0,740.0,31.0,358.0,163570.0,32036.0,101.0,10462.0,22.0,711.1966552734375,242.07095336914065,522.2780151367188,2.497751474380493,0.0,1.0,0.0,101.97666931152344,15.219261169433594,80.74684143066406,-0.5181884765625,2.41015625,0.4017333984375,402.1238708496094,2151,1000002151
33,2156,0.0,0.0,0.0,0.0,270.69146728515625,19.885881423950195,21.34907913208008,25.14742851257324,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.526323318481444,876.6598510742188,241.32672119140625,21.72479248046875,0.0,94.0,254.0,4.0,24.0,102.0,255.0,14.0,63.0,56.54545593261719,205.5454559326172,4.5,30.636363983154297,57.96999740600586,221.01998901367188,3.996000289916992,26.51999855041504,7.0,67.0,0.0,0.0,26.800148010253903,52.87956237792969,3.7869393825531006,18.66826629638672,1244.0,4522.0,99.0,674.0,86144.0,990994.0,761.0,28316.0,22.0,661.2650756835938,245.32672119140625,520.6494140625,0.0837642103433609,0.0,1.0,0.0,45.026611328125,126.78570556640624,112.13362121582033,0.0592041015625,-0.0501556396484375,-0.03155517578125,402.1238708496094,2156,1000002156
34,2157,0.0,0.0,0.0,0.0,270.69146728515625,19.30421257019043,25.632190704345703,32.13669204711914,8.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.377509117126465,940.1345825195312,240.96307373046875,21.767333984375,0.0,227.0,16.0,2.0,2.0,236.0,32.0,5.0,5.0,149.61904907226562,17.761905670166016,1.6190476417541504,2.190476179122925,157.93099975585938,13.992000579833984,2.002000331878662,1.998000144958496,65.0,6.0,0.0,0.0,47.793678283691406,8.684440612792969,1.49526846408844,1.4013274908065796,3142.0,373.0,34.0,46.0,518072.0,8209.0,102.0,142.0,21.0,743.5150146484375,244.96307373046875,520.6068725585938,0.7947596907615662,0.0,1.0,0.0,93.23416900634766,6.115281581878662,95.18885803222656,-0.0447998046875,0.7902374267578125,-0.07183837890625,402.1238708496094,2157,1000002157
